City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
saint george,37.1041,-113.5841,303.39,15,0,3.6,US,1681160624
pellerd,46.0344,18.154,282.62,66,0,3.09,HU,1681160624
thompson,55.7435,-97.8558,287.24,33,75,6.17,CA,1681160409
lavrentiya,65.5833,-171.0,249.84,82,27,0.31,RU,1681160625
gwadar,25.1216,62.3254,298.64,67,66,5.08,PK,1681160626
narsaq,60.9167,-46.05,277.41,58,95,5.48,GL,1681160327
luderitz,-26.6481,15.1594,290.13,45,0,7.6,NA,1681160627
port alfred,-33.5906,26.891,288.81,60,19,4.92,ZA,1681160627
arraial do cabo,-22.9661,-42.0278,298.13,78,0,3.09,BR,1681160628
mataura,-46.1927,168.8643,284.53,99,100,0.88,NZ,1681160628
torbay,47.6666,-52.7314,278.57,78,75,3.09,CA,1681160629
hualmay,-11.0964,-77.6139,299.32,73,51,5.3,PE,1681160629
flin flon,54.7682,-101.865,286.06,30,20,10.29,CA,1681160629
fort nelson,58.8053,-122.7002,281.92,25,75,8.75,CA,1681160340
petropavlovsk-kamchatskiy,53.0452,158.6483,273.48,75,75,2.0,RU,1681160630
camacha,33.0833,-16.3333,289.83,77,20,3.09,PT,1681160631
hermanus,-34.4187,19.2345,288.74,69,99,3.98,ZA,1681160631
yeppoon,-23.1333,150.7333,288.03,62,1,2.6,AU,1681160632
vestmanna,62.1564,-7.1664,278.66,93,100,4.12,FO,1681160632
gastello,49.1167,142.9667,272.39,82,9,1.13,RU,1681160633
ust-tsilma,65.441,52.1498,272.75,93,100,4.74,RU,1681160633
moa,20.6569,-74.9403,297.44,84,59,0.63,CU,1681160634
alvaraes,-3.2208,-64.8042,304.08,79,90,1.3,BR,1681160502
roma,43.2128,-75.4557,291.53,26,0,3.6,US,1681160523
hithadhoo,-0.6,73.0833,301.1,67,12,1.4,MV,1681160635
port elizabeth,-33.918,25.5701,289.31,78,0,9.83,ZA,1681160425
albany,42.6001,-73.9662,291.8,17,23,0.45,US,1681160636
vaini,-21.2,-175.2,302.24,74,20,5.14,TO,1681160637
aksarka,66.5606,67.7975,250.34,99,93,2.02,RU,1681160638
pafos,34.7667,32.4167,290.03,88,75,5.14,CY,1681160639
busselton,-33.65,115.3333,288.67,69,55,4.5,AU,1681160639
nikolskoye,59.7035,30.7861,278.04,88,100,1.58,RU,1681160640
avarua,-21.2078,-159.775,300.18,65,27,3.6,CK,1681160640
port macquarie,-31.4333,152.9167,283.09,67,0,2.46,AU,1681160641
kavieng,-2.5744,150.7967,299.71,82,100,3.8,PG,1681160642
uchiza,-8.4592,-76.4633,302.36,62,66,0.61,PE,1681160642
fountain,38.6822,-104.7008,297.85,11,0,4.12,US,1681160453
naryan-mar,67.6713,53.087,273.12,97,100,7.74,RU,1681160644
kununurra,-15.7667,128.7333,298.14,94,90,3.09,AU,1681160645
sur,22.5667,59.5289,299.41,65,34,2.4,OM,1681160645
bambous virieux,-20.3428,57.7575,298.83,94,75,1.54,MU,1681160646
rikitea,-23.1203,-134.9692,297.87,70,86,3.51,PF,1681160368
san fernando,15.0286,120.6898,300.0,86,99,1.83,PH,1681160647
cape town,-33.9258,18.4232,290.58,61,75,1.54,ZA,1681160405
vardo,70.3705,31.1107,276.14,87,75,9.26,NO,1681160592
amahai,-3.3333,128.9167,298.49,86,87,1.66,ID,1681160648
udachnyy,66.4167,112.4,240.3,99,64,2.32,RU,1681160649
ushuaia,-54.8,-68.3,280.94,87,75,10.29,AR,1681160650
new norfolk,-42.7826,147.0587,285.33,81,100,0.69,AU,1681160650
massaguet,12.4755,15.4365,305.6,16,46,3.79,TD,1681160651
fagersta,60.0042,15.7932,278.4,72,100,3.11,SE,1681160652
talara,-4.5772,-81.2719,302.57,79,40,4.12,PE,1681160652
auki,-8.7676,160.7034,297.43,93,100,2.05,SB,1681160653
clyde river,70.4692,-68.5914,255.28,78,0,4.63,CA,1681160653
kamenka,51.3223,42.7678,280.87,50,1,2.93,RU,1681160653
ponta do sol,32.6667,-17.1,293.5,73,1,3.59,PT,1681160654
ancud,-41.8697,-73.8203,287.25,99,97,3.95,CL,1681160654
tuktoyaktuk,69.4541,-133.0374,263.15,85,100,5.14,CA,1681160655
leningradskiy,69.3833,178.4167,251.83,87,91,2.53,RU,1681160655
aragarcas,-15.8975,-52.2508,303.51,70,40,0.0,BR,1681160656
punta arenas,-53.15,-70.9167,281.21,61,75,7.2,CL,1681160434
dikson,73.5069,80.5464,251.03,98,100,4.61,RU,1681160657
shiraz,29.6036,52.5388,287.84,44,20,0.0,IR,1681160106
chokurdakh,70.6333,147.9167,250.43,88,99,3.21,RU,1681160658
pozarevac,44.6153,21.1825,278.57,93,24,2.63,RS,1681160658
qaanaaq,77.484,-69.3632,251.01,80,0,0.66,GL,1681160659
tura,25.5198,90.2201,295.82,39,0,2.06,IN,1681160659
georgetown,5.4112,100.3354,300.11,93,20,1.54,MY,1681160660
lorengau,-2.0226,147.2712,298.53,87,100,2.15,PG,1681160481
bredasdorp,-34.5322,20.0403,287.72,68,100,4.04,ZA,1681160661
farah,32.5,62.5,293.95,26,9,1.56,AF,1681160662
teshie,5.5836,-0.1072,302.46,79,0,4.12,GH,1681160662
khatanga,71.9667,102.5,249.62,99,100,2.52,RU,1681160663
dhidhdhoo,6.8833,73.1,301.71,74,19,3.07,MV,1681160663
high level,58.5169,-117.136,283.21,29,40,6.17,CA,1681160489
coquimbo,-29.9533,-71.3436,291.0,82,20,6.17,CL,1681160664
dingle,10.9995,122.6711,297.48,83,100,2.35,PH,1681160665
sao filipe,14.8961,-24.4956,295.32,68,51,3.78,CV,1681160665
lebu,-37.6167,-73.65,290.79,87,76,3.25,CL,1681160666
constitucion,-35.3333,-72.4167,291.25,81,100,4.59,CL,1681160667
ust-kuyga,70.0167,135.6,245.0,92,3,0.25,RU,1681160668
cidreira,-30.1811,-50.2056,296.06,83,48,3.67,BR,1681160668
fortuna,40.5982,-124.1573,295.89,71,70,2.24,US,1681160669
dukat,62.55,155.55,256.96,96,100,3.63,RU,1681160669
manzhouli,49.6,117.4333,266.09,88,100,12.93,CN,1681160670
carnarvon,-24.8667,113.6333,295.09,60,37,7.71,AU,1681160671
sakakah,29.9697,40.2064,295.91,60,70,8.1,SA,1681160671
talcahuano,-36.7167,-73.1167,292.97,83,75,1.54,CL,1681160415
chastyye,57.2888,54.9728,272.05,71,13,2.12,RU,1681160672
cayenne,4.9333,-52.3333,300.17,83,20,2.57,GF,1681160673
verkhnyaya toyma,62.2349,44.9985,272.81,94,100,1.65,RU,1681160673
inhambane,-23.865,35.3833,295.63,97,9,1.5,MZ,1681160376
araouane,18.9048,-3.5265,302.75,13,95,4.85,ML,1681160674
la ceiba,15.7597,-86.7822,302.05,61,40,4.63,HN,1681160414
russell,32.3502,-85.1999,294.75,45,81,3.02,US,1681160412
giresun,40.5,38.5,272.93,93,52,4.16,TR,1681160676
ninghai,29.2892,121.4247,288.55,98,96,1.11,CN,1681160676
faya,18.3851,42.4509,290.21,53,0,1.95,SA,1681160677
flagstaff,35.1981,-111.6513,297.88,16,0,3.6,US,1681160596
kodiak,57.79,-152.4072,274.88,35,0,4.63,US,1681160678
constantine,36.365,6.6147,284.82,46,0,1.03,DZ,1681160434
tasiilaq,65.6145,-37.6368,275.24,87,99,6.35,GL,1681160678
paramonga,-10.6667,-77.8333,299.19,75,41,5.18,PE,1681160679
ust-nera,64.5667,143.2,251.12,100,99,1.01,RU,1681160680
mattru,7.6244,-11.8332,298.44,91,90,2.16,SL,1681160680
jamestown,42.097,-79.2353,291.51,22,0,1.79,US,1681160635
castro,-24.7911,-50.0119,291.46,78,37,1.52,BR,1681160681
katsuura,35.1333,140.3,289.28,72,4,8.68,JP,1681160681
ketchikan,55.3422,-131.6461,280.41,76,40,7.2,US,1681160682
buchanan,5.8808,-10.0467,300.2,84,77,2.49,LR,1681160682
port-gentil,-0.7193,8.7815,301.13,78,40,5.14,GA,1681160683
kholtoson,50.2981,103.3097,263.23,62,1,1.63,RU,1681160683
saldanha,-33.0117,17.9442,286.18,71,33,4.71,ZA,1681160684
dir,35.2058,71.8756,286.08,61,75,3.19,PK,1681160684
atuona,-9.8,-139.0333,300.44,80,16,7.53,PF,1681160685
montrose,38.4166,-108.2673,289.82,29,7,0.94,US,1681160686
hobart,-42.8794,147.3294,285.52,89,75,4.12,AU,1681160686
zafarabad,25.7,82.7333,294.16,12,55,2.64,IN,1681160687
okha,53.5739,142.9478,264.96,78,8,3.27,RU,1681160687
samarai,-10.6167,150.6667,300.41,82,97,2.82,PG,1681160688
ibra,22.6906,58.5334,296.36,64,36,1.66,OM,1681160688
puerto ayora,-0.7393,-90.3518,304.13,82,76,2.68,EC,1681160569
canakkale,40.0833,26.8333,279.47,94,100,3.51,TR,1681160690
puerto escondido,15.85,-97.0667,304.61,66,0,3.09,MX,1681160690
yellowknife,62.456,-114.3525,273.44,80,75,8.75,CA,1681160436
hilo,19.7297,-155.09,298.77,71,40,2.24,US,1681160691
dunkwa,5.9656,-1.78,299.11,81,100,1.36,GH,1681160692
santa cruz,-17.8,-63.1667,304.85,48,20,3.09,BO,1681160430
college,64.8569,-147.8028,261.52,60,100,0.0,US,1681160413
bathsheba,13.2167,-59.5167,300.49,69,40,7.72,BB,1681160693
longyearbyen,78.2186,15.6401,268.06,86,75,4.63,SJ,1681160592
east london,-33.0153,27.9116,289.16,58,0,10.94,ZA,1681160694
walvis bay,-22.9575,14.5053,287.75,79,0,1.6,NA,1681160694
te anau,-45.4167,167.7167,284.74,95,100,0.44,NZ,1681160695
upernavik,72.7868,-56.1549,255.81,93,92,6.97,GL,1681160696
bilibino,68.0546,166.4372,252.56,88,7,1.91,RU,1681160696
pangnirtung,66.1451,-65.7125,258.15,72,0,1.54,CA,1681160696
anito,12.4497,125.2886,296.97,96,100,5.8,PH,1681160697
mar del plata,-38.0023,-57.5575,290.98,75,100,6.69,AR,1681160516
cabatuan,10.8794,122.486,297.03,83,100,2.68,PH,1681160698
yar-sale,66.8333,70.8333,247.87,96,73,3.44,RU,1681160699
letnica,51.8981,15.333,281.78,40,94,3.42,PL,1681160699
marzuq,14.4,46.4667,295.34,50,23,2.82,YE,1681160699
pearl,32.2746,-90.132,296.25,42,40,4.12,US,1681160700
cabo san lucas,22.8909,-109.9124,303.32,38,100,7.72,MX,1681160701
annau,37.8876,58.516,288.87,51,67,2.06,TM,1681160701
chuy,-33.6971,-53.4616,294.11,77,23,3.96,UY,1681160702
airai,-8.9266,125.4092,288.53,94,73,1.08,TL,1681160703
laguna,38.421,-121.4238,300.42,37,0,3.09,US,1681160703
bykovo,55.6361,38.0803,282.74,78,0,0.0,RU,1681160704
asyut,27.181,31.1837,297.25,46,100,8.54,EG,1681160705
barrow,71.2906,-156.7887,256.16,71,100,6.17,US,1681160706
hamilton,39.1834,-84.5333,295.68,22,0,3.09,US,1681160706
hadrut,39.52,47.0318,282.43,78,100,0.82,AZ,1681160707
concordia,-31.393,-58.0209,300.19,54,20,2.06,AR,1681160707
provideniya,64.3833,-173.3,256.21,60,0,0.0,RU,1681160708
geraldton,-28.7667,114.6,292.38,68,100,3.09,AU,1681160708
kashi,39.4547,75.9797,289.71,27,0,5.0,CN,1681160709
hambantota,6.1241,81.1185,299.04,80,29,5.43,LK,1681160709
souillac,-20.5167,57.5167,298.36,94,75,1.54,MU,1681160710
byron bay,-28.65,153.6167,284.66,66,1,2.36,AU,1681159924
sergeyevka,53.88,67.4158,273.59,63,98,2.91,KZ,1681160711
fairbanks,64.8378,-147.7164,261.53,60,100,0.45,US,1681160594
saint-augustin,51.226,-58.6502,276.81,73,83,4.45,CA,1681160712
roebourne,-20.7833,117.1333,299.3,37,99,4.86,AU,1681160713
richards bay,-28.783,32.0377,294.13,88,100,3.86,ZA,1681160714
svetlogorsk,52.6333,29.7333,283.47,65,98,0.99,BY,1681160714
ribeira grande,38.5167,-28.7,290.37,88,40,5.81,PT,1681160716
san quintin,30.4833,-115.95,291.38,69,1,6.33,MX,1681160716
bubaque,11.2833,-15.8333,298.01,72,38,6.97,GW,1681160717
faanui,-16.4833,-151.75,301.24,71,96,5.57,PF,1681160718
batagay,67.6333,134.6333,247.21,91,5,1.34,RU,1681160718
mackay,-21.15,149.2,292.97,81,2,2.88,AU,1681160628
kiama,-34.6833,150.8667,286.07,69,72,0.89,AU,1681160719
padang,-0.9492,100.3543,296.76,89,91,1.14,ID,1681160429
nesna,66.1967,13.0213,278.52,73,3,7.31,NO,1681160720
harper,4.375,-7.7169,300.12,82,100,2.37,LR,1681160721
tual,-5.6667,132.75,301.66,73,93,2.73,ID,1681160721
prnjavor,44.8703,17.6628,278.74,82,31,1.79,BA,1681160722
srinagar,34.0833,74.8167,283.78,55,1,0.72,IN,1681160723
ilulissat,69.2167,-51.1,281.16,39,40,9.26,GL,1681160724
tuatapere,-46.1333,167.6833,286.66,98,100,1.91,NZ,1681160724
maceio,-9.6658,-35.7353,299.84,83,0,3.6,BR,1681160725
san joaquin,37.9333,-121.3011,300.48,36,0,0.0,US,1681160725
phan thiet,10.9333,108.1,297.42,87,91,2.29,VN,1681160531
feroke,11.1774,75.8337,299.67,83,20,1.03,IN,1681160726
axim,4.8699,-2.2405,300.53,82,100,3.66,GH,1681160727
palmer,42.1584,-72.3287,292.8,14,20,2.57,US,1681160727
nuevitas,21.5453,-77.2644,299.13,68,27,1.87,CU,1681160728
taltal,-25.4,-70.4833,292.27,81,60,2.9,CL,1681160504
bontang,0.1333,117.5,297.9,88,74,2.2,ID,1681160729
anadyr,64.75,177.4833,255.43,60,0,5.0,RU,1681160730
pizarro,4.9533,-77.366,301.29,79,100,1.6,CO,1681160731
jagatsinghapur,20.2667,86.1667,302.35,60,0,2.81,IN,1681160731
lazaro cardenas,17.9583,-102.2,303.08,53,97,4.85,MX,1681160732
vila velha,-20.3297,-40.2925,299.12,77,0,6.69,BR,1681160641
cherskiy,68.75,161.3,253.2,77,3,1.57,RU,1681160733
aleksandro-nevskiy,53.4751,40.2095,281.54,49,7,1.75,RU,1681160733
tartus,34.889,35.8866,291.54,82,87,2.63,SY,1681160734
habay,49.731,5.6175,283.6,92,100,4.85,BE,1681160734
fort saint james,54.4333,-124.25,278.62,64,72,3.51,CA,1681160735
guabito,9.5,-82.6167,301.51,65,30,2.83,PA,1681160735
villarrica,-25.75,-56.4333,300.67,59,58,2.2,PY,1681160736
raudeberg,61.9875,5.1352,282.52,78,100,3.6,NO,1681160736
victoria,22.2855,114.1577,296.11,91,99,0.45,HK,1681160494
puerto madero,14.7208,-92.4215,306.26,55,20,6.17,MX,1681160737
bethel,41.3712,-73.414,293.5,20,0,4.63,US,1681160738
mount isa,-20.7333,139.5,285.02,76,64,0.0,AU,1681160501
hofn,64.2539,-15.2082,277.74,92,100,6.2,IS,1681160592
nhulunbuy,-12.2333,136.7667,298.49,94,75,0.0,AU,1681160740
maracas,-13.4411,-40.4308,292.36,94,76,2.87,BR,1681160620
kaitangata,-46.2817,169.8464,286.45,98,100,1.96,NZ,1681160741
san patricio,28.017,-97.5169,298.64,64,96,2.96,US,1681160741
bari,41.1177,16.8512,286.41,80,0,8.49,IT,1681160742
coswig,51.1333,13.5833,284.82,74,0,3.09,DE,1681160742
beysehir,37.6773,31.7246,280.17,81,44,0.86,TR,1681160743
xining,36.6167,101.7667,275.97,53,1,0.84,CN,1681160744
tiksi,71.6872,128.8694,244.45,100,70,1.13,RU,1681160744
pipar,26.3856,73.5378,301.48,12,97,2.67,IN,1681160745
namibe,-15.1961,12.1522,296.09,77,59,2.27,AO,1681160745
turukhansk,65.8167,87.9833,254.74,90,100,2.55,RU,1681160746
gat,31.61,34.7642,293.37,100,20,6.25,IL,1681160644
beboto,8.2668,16.939,302.19,43,100,2.33,TD,1681160747
grand gaube,-20.0064,57.6608,298.92,82,99,4.81,MU,1681160747
baruun-urt,46.6806,113.2792,263.11,38,32,11.85,MN,1681160747
vanavara,60.34,102.2797,258.5,96,97,2.14,RU,1681160748
husavik,66.0449,-17.3389,276.02,98,100,3.83,IS,1681160748
tanout,14.9709,8.8879,303.31,14,84,5.36,NE,1681160749
hami,42.8,93.45,283.03,21,24,3.0,CN,1681160749
kloulklubed,7.0419,134.2556,301.03,80,100,7.88,PW,1681160750
lethem,3.3803,-59.7968,309.33,26,89,2.48,GY,1681160751
kieta,-6.2167,155.6333,299.85,81,100,2.66,PG,1681160751
maniitsoq,65.4167,-52.9,274.92,75,46,5.52,GL,1681160752
mount gambier,-37.8333,140.7667,282.36,95,81,1.73,AU,1681160752
mareeba,-17.0,145.4333,296.17,94,73,0.61,AU,1681160752
artyom,40.4723,50.333,285.23,77,100,4.71,AZ,1681160753
guerrero negro,27.9769,-114.0611,294.5,54,4,7.04,MX,1681160559
kirillov,59.863,38.3813,271.3,97,14,1.36,RU,1681160754
sorland,67.667,12.6934,278.07,79,0,8.0,NO,1681160754
kapaa,22.0752,-159.319,299.33,76,20,8.23,US,1681160755
aklavik,68.2191,-135.0107,261.15,72,100,5.66,CA,1681160755
nantucket,41.2835,-70.0995,285.45,71,0,7.2,US,1681160676
ahtopol,42.1,27.95,281.95,90,100,5.53,BG,1681160756
isangel,-19.55,169.2667,303.21,84,40,1.03,VU,1681160757
san ramon,37.7799,-121.978,299.53,47,0,5.66,US,1681160757
zhigansk,66.7697,123.3711,242.59,94,33,1.89,RU,1681160757
mayo,38.8876,-76.5119,293.79,35,0,4.12,US,1681160758
salalah,17.0151,54.0924,301.2,74,20,2.06,OM,1681160758
maragogi,-9.0122,-35.2225,299.18,78,99,3.15,BR,1681160759
slobidka,47.8869,29.3461,281.28,84,99,3.16,UA,1681160759
sitka,57.0531,-135.33,279.09,45,75,5.14,US,1681160760
solnechnyy,50.7214,136.6319,274.03,83,92,1.0,RU,1681160760
broome,42.2506,-75.833,292.09,20,0,3.6,US,1681160761
dunedin,-45.8742,170.5036,286.87,99,100,1.08,NZ,1681160480
tautira,-17.7333,-149.15,299.94,79,99,4.72,PF,1681160762
bengkulu,-3.8004,102.2655,296.89,89,39,1.45,ID,1681160762
butaritari,3.0707,172.7902,300.38,82,85,5.72,KI,1681160763
pacific grove,36.6177,-121.9166,295.73,74,0,4.02,US,1681160764
ostrovnoy,68.0531,39.5131,273.71,94,100,7.51,RU,1681160764
cangucu,-31.395,-52.6756,296.71,78,90,3.34,BR,1681160465
staraya poltavka,50.4772,46.4814,282.6,39,0,2.7,RU,1681160766
portsmouth,50.799,-1.0913,283.69,77,0,8.88,GB,1681160766
kalamb,19.05,73.95,299.71,39,1,1.74,IN,1681160767
kirakira,-10.4544,161.9205,299.21,85,100,1.37,SB,1681160767
naze,28.3667,129.4833,290.66,71,57,5.08,JP,1681160768
